study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB9586	SAMEA3302776	ERX1097979	ERR1019039	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019039/ERR1019039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019039/ERR1019039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019039/LP6005441-DNA_A09.bam		
PRJEB9586	SAMEA3302869	ERX1097983	ERR1019043	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019043/ERR1019043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019043/ERR1019043_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019043/LP6005441-DNA_F01.bam		
PRJEB9586	SAMEA3302903	ERX1097986	ERR1019046	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019046/ERR1019046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019046/ERR1019046_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019046/LP6005441-DNA_D02.bam		
PRJEB9586	SAMEA3302841	ERX1097988	ERR1019048	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019048/ERR1019048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019048/ERR1019048_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019048/LP6005441-DNA_B03.bam		
PRJEB9586	SAMEA3302635	ERX1097993	ERR1019053	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019053/ERR1019053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019053/ERR1019053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019053/LP6005441-DNA_A05.bam		
PRJEB9586	SAMEA3302804	ERX1097996	ERR1019056	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019056/ERR1019056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019056/ERR1019056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019056/LP6005441-DNA_C05.bam		
PRJEB9586	SAMEA3302667	ERX1098002	ERR1019062	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019062/ERR1019062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019062/ERR1019062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019062/LP6005441-DNA_C09.bam		
PRJEB9586	SAMEA3302639	ERX1098005	ERR1019065	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019065/ERR1019065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019065/ERR1019065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019065/LP6005441-DNA_D10.bam		
PRJEB9586	SAMEA3302669	ERX1098007	ERR1019067	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019067/ERR1019067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019067/ERR1019067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019067/LP6005441-DNA_B04.bam		
PRJEB9586	SAMEA3302822	ERX1098008	ERR1019068	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019068/ERR1019068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019068/ERR1019068_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019068/LP6005441-DNA_C11.bam		
PRJEB9586	SAMEA3302620	ERX1098019	ERR1019079	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019079/ERR1019079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019079/ERR1019079_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019079/LP6005441-DNA_B09.bam		
PRJEB9586	SAMEA3302825	ERX1104471	ERR1025601	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1025601/ERR1025601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/001/ERR1025601/ERR1025601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025601/LP6005441-DNA_G08.bam		
PRJEB9586	SAMEA3302836	ERX1104472	ERR1025602	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1025602/ERR1025602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1025602/ERR1025602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025602/LP6005441-DNA_H08.bam		
PRJEB9586	SAMEA3302655	ERX1104478	ERR1025608	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025608/ERR1025608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025608/ERR1025608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025608/LP6005442-DNA_C02.bam		
PRJEB9586	SAMEA3302842	ERX1104485	ERR1025615	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025615/ERR1025615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025615/ERR1025615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025615/LP6005442-DNA_B03.bam		
PRJEB9586	SAMEA3302689	ERX1104487	ERR1025617	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1025617/ERR1025617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1025617/ERR1025617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025617/LP6005441-DNA_G03.bam		
PRJEB9586	SAMEA3302845	ERX1104498	ERR1025628	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025628/ERR1025628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025628/ERR1025628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025628/LP6005441-DNA_H05.bam		
PRJEB9586	SAMEA3302874	ERX1104502	ERR1025632	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1025632/ERR1025632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/002/ERR1025632/ERR1025632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025632/LP6005442-DNA_C04.bam		
PRJEB9586	SAMEA3302812	ERX1104508	ERR1025638	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025638/ERR1025638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/008/ERR1025638/ERR1025638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025638/LP6005442-DNA_C11.bam		
PRJEB9586	SAMEA3302743	ERX1104515	ERR1025645	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025645/ERR1025645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025645/ERR1025645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025645/LP6005441-DNA_F08.bam		
PRJEB9586	SAMEA3302685	ERX1104519	ERR1025649	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1025649/ERR1025649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1025649/ERR1025649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025649/LP6005441-DNA_H11.bam		
PRJEB9586	SAMEA3302684	ERX1104523	ERR1025653	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1025653/ERR1025653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1025653/ERR1025653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025653/LP6005441-DNA_H12.bam		
PRJEB9586	SAMEA3302611	ERX1104525	ERR1025655	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025655/ERR1025655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1025655/ERR1025655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR102/ERR1025655/LP6005442-DNA_B01.bam		
PRJEB9586	SAMEA3302854	ERX1104509	ERR1347655	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347655/ERR1347655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1347655/ERR1347655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347655/LP6005442-DNA_E11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347655/LP6005442-DNA_E11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1347655	
PRJEB9586	SAMEA3302706	ERX1418105	ERR1347658	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347658/ERR1347658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1347658/ERR1347658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347658/LP6005442-DNA_F01_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347658/LP6005442-DNA_F01_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1347658	
PRJEB9586	SAMEA3302676	ERX1418108	ERR1347661	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347661/ERR1347661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1347661/ERR1347661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347661/LP6005442-DNA_F10_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347661/LP6005442-DNA_F10_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1347661	
PRJEB9586	SAMEA3302873	ERX1418109	ERR1347662	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1347662/ERR1347662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1347662/ERR1347662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347662/LP6005442-DNA_F11_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1347662/LP6005442-DNA_F11_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1347662	
